0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4,0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
636,95,95,334,562,120,341,642,94,235,639,120,120,341,230,429,429,214,334,426,215,231,427,319,227,429,430,212,366,151,151,458,375,290,461,367,147,322,366,291,292,459,173,478,478,67,436,542,68,177,476,262,175,546,549,68,279,384,382,366,219,349,368,281,380,338,280,351,352,365,395,311,309,313,363,211,313,399,311,377,397,212,212,309,220,305,303,356,324,386,356,220,302,379,219,389,391,355,63,441,439,84,435,772,84,64,439,118,64,774,777,82,341,274,274,312,403,334,314,343,272,311,342,331,335,312,333,367,364,3,612,531,3,334,364,110,332,536,536,3,262,314,313,431,220,367,433,265,311,332,264,368,370,431,291,180,179,503,293,322,504,292,180,361,291,326,328,502,478,75,75,825,47,1,829,481,75,467,481,1,1,824,364,364,363,240,385,251,241,368,363,373,366,250,253,238,84,579,577,65,334,547,66,85,576,344,84,550,552,66,375,439,438,66,492,307,67,379,439,312,377,308,308,67,335,286,284,505,167,274,507,338,285,347,338,275,276,506,350,212,209,633,112,183,634,353,210,422,353,184,184,630,507,155,155,456,371,133,458,512,155,335,512,133,133,455,193,402,402,278,298,436,279,193,400,346,193,439,440,277
538,843,841,553,482,870,553,542,839,463,539,874,876,548,775,442,438,1108,358,284,1112,779,439,847,777,287,287,1104,860,301,299,876,773,503,882,869,300,586,867,504,508,879,647,642,635,1011,258,297,1015,651,637,961,653,298,298,1011,771,454,452,1248,184,206,1250,775,452,907,772,206,206,1240,811,454,452,1012,455,301,1018,817,448,808,815,302,304,1015,820,526,524,1122,282,26,1124,826,524,1083,823,26,26,1117,528,657,654,825,475,481,829,529,652,944,528,483,485,823,473,836,836,242,864,982,244,477,830,477,475,984,989,239,1033,86,86,1266,551,176,1271,1039,86,689,1040,176,176,1265,923,235,234,1117,579,316,1124,929,235,686,926,314,316,1112,523,669,665,959,278,558,962,524,661,816,524,562,562,955,758,315,314,1221,327,456,1227,764,312,640,764,459,461,1218,655,597,595,519,819,816,521,658,590,451,658,819,822,519,264,1033,1031,299,592,1023,300,265,1026,631,265,1029,1031,299,745,421,416,1309,157,180,1313,750,418,949,752,183,183,1302,353,1037,1037,49,863,999,49,354,1028,587,353,1005,1007,49,644,757,757,70,1116,1044,70,648,752,247,645,1045,1049,69,882,730,726,345,919,376,346,888,721,727,885,376,379,346,374,768,768,492,665,949,493,378,763,598,377,951,957,487
1304,159,159,2094,409,302,2098,1307,157,1052,1308,303,304,2084,1164,596,596,1661,561,417,1665,1171,591,1230,1171,415,418,1655,1311,294,292,1725,768,497,1724,1318,291,972,1314,496,499,1715,472,1471,1469,216,1148,1493,217,473,1465,859,471,1497,1500,213,893,682,683,1113,1092,1059,1114,897,677,927,895,1065,1066,1107,838,894,894,1125,833,1024,1130,844,887,982,843,1025,1031,1122,1205,771,767,1035,1001,1056,1037,1212,765,532,1210,1065,1065,1032,778,1057,1051,1192,661,666,1195,781,1050,1460,783,669,671,1184,990,721,720,1484,609,773,1483,995,717,1042,995,775,776,1476,1198,381,383,1561,867,733,1566,1201,379,874,1202,737,739,1553,747,948,948,1191,684,1149,1196,751,943,919,751,1154,1157,1188,1256,381,382,1470,969,757,1472,1263,378,801,1264,760,762,1462,1128,487,486,1787,445,675,1786,1133,485,906,1137,681,682,1775,1004,859,857,827,1176,1126,830,1012,854,717,1007,1131,1137,827,264,1604,1604,168,1006,1705,168,265,1591,799,262,1708,1715,168,673,1211,1210,91,1506,1725,91,677,1207,398,673,1731,1735,91,956,1127,1125,92,1646,1444,92,968,1119,446,966,1447,1452,92,1049,397,397,1717,696,730,1715,1053,393,1024,1054,729,735,1704,960,1085,1079,1354,420,317,1358,966,1078,1576,965,318,318,1349,1237,857,852,1193,826,370,1199,1244,851,1267,1245,372,372,1193
957,1442,1438,120,1981,2240,119,965,1441,323,959,2253,2256,119,1465,841,839,2090,713,588,2092,1471,835,1571,1473,593,594,2075,849,1587,1586,74,1923,2153,75,855,1577,565,852,2158,2168,75,569,1906,1905,249,1528,2000,251,573,1889,1102,567,2006,2008,249,1327,1784,1772,369,1704,1113,369,1339,1772,1400,1332,1116,1119,368,1220,1340,1340,1041,1347,1466,1042,1229,1333,1024,1224,1469,1475,1034,1760,1373,1365,1316,1162,96,1319,1768,1362,1986,1766,97,96,1312,1856,913,906,1711,1118,289,1709,1865,908,1586,1862,286,289,1694,1183,1512,1511,1192,995,1199,1190,1186,1502,1306,1181,1208,1202,1186,1285,1358,1357,9,2282,1955,9,1294,1354,391,1290,1955,1964,9,1196,1362,1357,1850,462,570,1851,1201,1351,1901,1204,570,573,1839,1045,773,773,1718,1233,1465,1721,1048,771,1197,1052,1466,1473,1709,106,2206,2201,164,1152,2224,165,106,2193,1176,106,2234,2238,165,1281,1154,1155,1015,1568,1562,1019,1285,1148,876,1282,1572,1572,1011,1028,1350,1347,239,1995,2169,240,1035,1343,361,1031,2176,2187,239,1380,1752,1747,243,1829,1230,243,1387,1745,1211,1373,1236,1237,243,1457,618,618,1825,1260,1105,1824,1467,616,1118,1472,1104,1108,1809,1485,466,465,2268,836,809,2267,1489,466,1273,1483,813,815,2249,1051,1388,1393,288,1930,2095,288,1060,1381,442,1055,2100,2105,286,1582,1114,1107,1615,1052,514,1620,1587,1107,1680,1585,513,516,1609
280,2507,2497,57,1591,2637,57,283,2499,1212,281,2658,2652,57,1120,1995,1988,1036,1552,1867,1039,1130,1981,1578,1127,1872,1879,1031,1291,2488,2480,151,1951,1506,151,1300,2470,1776,1298,1505,1512,151,683,2315,2312,317,1756,2341,320,688,2304,1346,684,2354,2359,319,1622,728,728,2564,1131,1100,2570,1627,725,1685,1626,1105,1112,2553,1541,1387,1390,1764,1383,1623,1765,1555,1379,1351,1551,1628,1632,1759,535,1660,1660,1018,1569,2640,1021,538,1654,1056,537,2652,2658,1013,2281,941,938,2239,1279,320,2247,2297,933,1843,2292,321,322,2237,1449,1855,1847,792,2024,1680,795,1462,1847,1527,1457,1682,1688,790,450,2678,2669,17,1548,2235,17,457,2662,1548,457,2229,2242,17,1399,1659,1651,2236,528,664,2241,1405,1644,2351,1402,670,670,2231,1119,1644,1643,2079,732,1483,2080,1123,1635,1842,1123,1489,1489,2067,214,2436,2433,343,1406,2611,345,216,2419,1350,214,2608,2621,341,1350,1767,1765,778,1937,2137,778,1357,1759,974,1354,2143,2146,771,573,2293,2290,695,1392,2392,698,578,2276,1400,576,2398,2405,693,1787,579,578,2602,1171,914,2611,1798,575,1644,1794,921,922,2595,693,2457,2454,141,1813,2235,141,702,2445,1464,700,2244,2249,138,1481,1758,1752,172,2456,2253,172,1491,1747,630,1481,2256,2260,170,574,2185,2183,418,1753,2485,419,578,2177,1287,575,2488,2499,418,1353,1558,1559,1185,1719,2123,1188,1359,1552,969,1351,2128,2133,1179
3056,467,466,1655,2795,618,1660,3061,467,1236,3062,616,619,1651,1548,2124,2121,1124,2008,2329,1130,1559,2111,1361,1548,2345,2346,1124,1572,1551,1545,2655,868,1507,2668,1576,1542,1979,1578,1518,1517,2650,1762,1628,1620,2428,1112,1673,2423,1772,1620,1705,1773,1678,1680,2405,1991,2404,2400,495,2496,1578,500,2006,2390,1818,1989,1574,1582,498,2212,1660,1653,1789,2005,1211,1801,2223,1647,2020,2215,1216,1217,1793,2654,1668,1659,1819,1852,135,1823,2665,1657,2537,2659,136,136,1814,484,1821,1821,368,1864,3242,369,487,1815,306,484,3250,3244,366,1200,2301,2298,638,2141,2614,639,1212,2287,1244,1209,2612,2620,636,2690,307,306,2749,1887,606,2756,2708,305,1638,2705,609,612,2749,2096,1899,1894,337,2910,2034,341,2106,1888,995,2088,2046,2049,337,2523,2374,2364,21,2896,742,21,2537,2360,2023,2518,740,745,21,1866,355,350,3334,222,10,3328,1870,351,2046,1866,10,10,3328,1493,1730,1726,1695,1961,2127,1698,1503,1722,1747,1506,2125,2138,1687,2035,1457,1455,974,2750,2324,978,2050,1455,802,2038,2326,2336,969,1515,2725,2722,321,2235,1703,323,1528,2722,2062,1519,1707,1709,322,1771,1636,1626,2800,497,773,2791,1777,1627,2380,1775,772,778,2780,1549,2317,2305,2182,594,853,2194,1559,2300,2677,1554,855,858,2183,641,2586,2578,453,1901,2771,457,645,2576,1501,643,2785,2787,453,2349,1422,1410,2368,1463,639,2374,2362,1412,2254,2359,641,642,2361
2149,113,111,3367,516,115,3361,2154,113,1737,2150,115,115,3360,1486,2588,2581,1447,1904,2403,1451,1492,2573,2031,1486,2409,2419,1440,2660,816,821,2776,2248,1424,2789,2672,815,1749,2663,1429,1434,2771,1674,2185,2177,386,2913,2902,386,1682,2173,882,1669,2917,2908,386,2337,759,761,3196,1455,1155,3206,2354,757,1901,2355,1168,1168,3203,2013,1846,1842,2298,1856,2202,2299,2027,1837,1764,2021,2211,2216,2286,2728,2071,2054,1957,1822,124,1967,2742,2057,2978,2732,124,125,1959,1508,2143,2135,2291,1558,1585,2303,1513,2134,2885,1505,1586,1596,2290,2092,1690,1684,1934,2505,2121,1940,2106,1682,1902,2093,2123,2135,1930,545,2863,2868,7,2130,3181,8,548,2847,1263,543,3185,3183,8,2230,838,836,3111,1553,1203,3117,2247,836,2066,2242,1207,1212,3115,2163,3131,3123,20,2550,798,20,2178,3117,2730,2159,802,803,20,274,3124,3120,461,1526,2975,462,277,3106,1840,275,2985,2975,455,2442,2072,2062,1603,2492,1538,1616,2459,2063,2185,2454,1541,1547,1613,816,3019,3020,1027,1478,2522,1028,820,3012,2179,819,2528,2540,1021,1621,3051,3050,361,2312,1772,361,1636,3042,2322,1628,1771,1780,360,2353,1066,1066,2639,2203,1911,2651,2360,1063,1634,2355,1921,1925,2636,1789,1205,1207,3285,618,1111,3279,1793,1197,2205,1788,1118,1116,3279,1635,1976,1971,501,2852,2996,503,1646,1967,674,1638,3003,2996,500,1784,2028,2025,1371,2322,2813,1379,1792,2013,1107,1783,2819,2827,1372
2423,1482,1481,1247,3288,2662,1250,2432,1477,918,2412,2668,2670,1240,2475,1166,1166,3320,1275,931,3314,2483,1161,2360,2483,936,937,3315,2104,2241,2240,2959,1033,1841,2961,2113,2229,2276,2108,1844,1850,2943,828,3047,3048,375,2244,3112,379,835,3029,1719,829,3102,3111,374,1653,2711,2702,2339,1397,2222,2341,1662,2699,2549,1659,2228,2230,2327,2712,2154,2141,2183,2438,1547,2192,2722,2139,2497,2713,1547,1555,2184,3048,843,836,3278,1467,76,3270,3060,837,2460,3057,77,77,3272,1649,2384,2378,2425,1740,1763,2434,1656,2368,3127,1654,1772,1775,2436,1388,2739,2737,762,2524,3142,762,1399,2731,1477,1395,3149,3143,753,568,3292,3298,11,1963,2786,11,573,3289,1912,572,2786,2791,11,1898,2135,2119,3067,620,810,3056,1906,2124,3103,1908,812,815,3063,2762,844,846,3138,2250,1739,3130,2779,844,1712,2773,1745,1749,3122,1718,1026,1022,3348,1169,1663,3341,1723,1023,2153,1723,1681,1681,3340,2399,1507,1502,3227,1192,912,3221,2409,1496,2602,2402,916,916,3219,2119,298,296,3369,591,184,3363,2113,296,1972,2109,184,185,3362,1986,1651,1646,2356,2549,2736,2372,2001,1647,1828,1998,2747,2751,2362,1997,1885,1873,3242,587,899,3236,2006,1873,2820,2005,897,902,3242,1852,1260,1258,3341,680,1208,3335,1860,1255,2226,1857,1213,1215,3335,748,2997,3005,502,2200,3196,502,755,2986,1752,752,3197,3196,498,2646,1934,1926,2746,1684,739,2757,2664,1921,2962,2670,744,744,2760
3159,488,490,1673,2918,666,1682,3160,484,1264,3166,665,669,1679,2469,1817,1815,3220,1820,2044,3220,2477,1806,2327,2473,2054,2053,3220,2628,1163,1162,3209,2561,2047,3214,2646,1160,2253,2641,2051,2060,3214,1872,2629,2613,2864,1488,2340,2863,1881,2611,2752,1880,2344,2350,2864,2231,1073,1072,3353,1722,1736,3347,2234,1067,2166,2228,1749,1754,3347,1887,2572,2572,2058,2553,2896,2064,1898,2562,2391,1897,2889,2905,2051,3136,1530,1528,2676,2620,2282,2683,3147,1521,1380,3141,2298,2299,2672,2369,1998,1986,2827,1253,383,2836,2385,1986,3308,2372,387,387,2838,2585,1960,1962,2298,3010,2417,2309,2599,1950,2260,2592,2412,2426,2299,615,3296,3302,10,2019,2825,10,621,3293,1903,613,2815,2820,10,2618,642,642,3352,1674,872,3346,2619,639,2184,2614,866,875,3346,1644,1604,1588,3085,123,230,3079,1649,1600,2940,1643,228,230,3092,1880,305,304,3340,194,14,3334,1857,304,1959,1850,13,14,3331,1903,2689,2683,1209,2705,3170,1214,1913,2689,1524,1906,3182,3180,1206,1974,549,544,3359,308,176,3353,1961,547,2062,1959,174,176,3351,1747,3282,3288,376,2633,2017,381,1759,3279,2533,1745,2018,2028,377,2230,2128,2129,3290,1078,1840,3284,2239,2116,2420,2237,1843,1844,3286,1754,2903,2887,2509,714,1030,2514,1761,2897,3328,1758,1035,1035,2514,1999,2596,2589,2125,2088,3138,2128,2011,2580,1645,2009,3144,3145,2114,3002,1787,1771,3049,1920,849,3048,3009,1777,2883,3014,849,851,3041
2540,1521,1517,1328,3422,2738,1331,2544,1518,1001,2526,2740,2734,1323,2616,2312,2309,1783,3253,2939,1791,2634,2299,1786,2635,2914,2929,1778,791,2707,2699,96,2367,3226,96,792,2719,1153,785,3230,3224,96,1680,2372,2367,390,2963,3102,391,1690,2359,941,1680,3091,3089,389,2234,1737,1731,3365,1098,1749,3359,2229,1731,2221,2223,1759,1762,3359,2807,2106,2104,2927,2472,2560,2933,2820,2089,2116,2810,2580,2573,2925,3025,2406,2386,2268,1984,157,2279,3043,2410,3454,3033,157,157,2269,2564,1892,1878,2934,1416,409,2936,2571,1880,3243,2558,407,410,2938,2287,1532,1526,3363,1272,1629,3357,2284,1529,2262,2281,1640,1645,3357,3129,955,958,3242,2777,1899,3236,3137,953,1938,3129,1910,1917,3236,887,2177,2177,202,2377,3196,201,893,2173,674,883,3190,3186,200,1580,1453,1438,2928,111,227,2937,1594,1448,2687,1593,226,227,2952,1693,440,431,475,1518,50,482,1697,440,694,1712,50,50,480,1371,3110,3112,1173,2483,3246,1175,1375,3108,2145,1376,3243,3238,1167,589,2647,2651,517,2146,3271,520,591,2659,1439,592,3278,3272,513,2232,1105,1103,3356,1742,1873,3350,2235,1104,2093,2235,1883,1890,3350,3037,630,631,3337,2115,930,3331,3030,630,2117,3033,933,936,3330,2356,682,680,3370,1409,1299,3364,2349,681,1821,2339,1303,1305,3364,2627,3168,3171,1274,2628,1324,1275,2645,3171,3104,2640,1327,1332,1272,2444,2348,2343,1949,2874,3183,1956,2462,2341,1540,2461,3175,3181,1943
403,2738,2729,180,1910,3033,180,407,2742,1384,399,3040,3034,180,2647,2317,2312,1854,3296,3006,1856,2654,2309,1820,2644,2999,2998,1847,1244,2219,2233,88,2666,2988,89,1250,2210,748,1244,2980,2976,87,3011,1649,1642,3255,2887,2606,3258,3017,1646,2164,3013,2622,2624,3256,2531,1863,1857,3052,3025,2905,3057,2544,1856,2493,2535,2908,2901,3042,2250,2571,2567,3024,2450,2974,3030,2264,2553,2809,2257,2978,2977,3025,1482,2684,2680,2748,2300,3090,2750,1486,2688,3146,1488,3092,3095,2732,294,1847,1852,363,1763,3174,364,298,1839,505,296,3165,3162,358,2367,2539,2549,1003,3343,2871,1008,2379,2521,1654,2361,2864,2864,1002,2544,779,782,3369,1890,1606,3363,2554,777,1893,2544,1609,1610,3358,3092,647,647,3136,2145,822,3130,3079,643,2003,3077,826,829,3129,1881,1463,1467,3178,2421,2891,3166,1887,1460,2286,1884,2906,2899,3163,153,2876,2882,236,1502,2868,236,154,2873,1604,152,2864,2859,233,1893,3135,3127,2295,2335,3121,2291,1900,3140,2727,1894,3138,3131,2273,1882,517,515,3216,272,152,3207,1864,517,1965,1860,151,152,3200,1919,3256,3262,430,2807,2021,435,1929,3253,2547,1917,2007,2021,434,1904,2047,2043,3201,861,1469,3198,1907,2041,2722,1903,1465,1472,3202,3082,619,619,2381,2684,937,2372,3080,611,1651,3086,935,942,2380,3293,903,898,3057,2313,723,3071,3289,895,2239,3295,717,724,3065,3197,2034,2019,3090,2126,885,3083,3197,2025,3155,3194,891,889,3092
1153,183,182,646,1102,282,653,1162,182,505,1171,285,286,661,2325,1226,1223,3235,1156,902,3233,2341,1221,2375,2340,904,906,3246,1480,1121,1112,2562,306,516,2560,1490,1114,1975,1490,517,519,2562,2929,1442,1441,3346,2570,2251,3340,2921,1435,2141,2934,2277,2268,3340,2601,2989,2999,3181,1825,2820,3187,2613,2980,2563,2610,2840,2835,3179,1993,2728,2720,2252,2779,3225,2258,2000,2725,2531,1992,3225,3219,2241,602,1958,1946,1085,1748,3033,1096,604,1963,1141,607,3042,3036,1082,251,1504,1470,296,1470,2599,298,252,1528,395,251,2627,2614,296,2183,1224,1218,3295,884,911,3288,2184,1219,2298,2174,908,912,3287,430,2510,2511,10,1804,2766,10,436,2515,1132,427,2770,2764,10,2203,1778,1776,2395,2795,3111,2403,2221,1774,1661,2207,3110,3104,2385,1189,1133,1126,2182,96,172,2184,1192,1132,2044,1191,172,172,2180,978,918,917,267,1738,1776,267,979,915,178,971,1781,1780,265,2352,1416,1406,3184,1107,798,3185,2347,1406,2535,2343,803,800,3185,2062,961,950,3304,729,1058,3298,2060,959,1873,2048,1062,1067,3298,1711,986,986,3006,332,435,3011,1717,984,2174,1714,434,436,3014,1734,2128,2146,152,2928,2625,152,1748,2120,874,1732,2614,2614,152,2390,3189,3186,318,3026,1755,320,2407,3183,2374,2392,1740,1745,320,2249,2718,2710,2395,2213,3281,2394,2259,2731,1770,2257,3288,3282,2378,3125,1759,1751,3148,1944,792,3142,3112,1748,2911,3121,797,797,3146
1153,1712,1712,138,2341,2678,138,1156,1704,366,1149,2671,2678,137,2372,2055,2050,1590,2941,2658,1604,2385,2042,1553,2372,2663,2654,1595,1946,3236,3242,237,2896,2106,237,1964,3235,2325,1959,2073,2097,237,918,2507,2513,345,2149,2691,346,924,2508,1394,922,2678,2682,344,1852,3212,3218,2608,1649,2820,2613,1854,3219,2804,1846,2831,2818,2600,2911,2373,2367,3172,2582,2920,3166,2926,2358,2280,2913,2923,2914,3164,3290,2008,1997,2178,2323,167,2188,3299,2007,3039,3305,169,170,2190,2935,1185,1173,2628,1740,370,2622,2932,1175,2236,2938,372,372,2632,1285,2517,2517,715,2353,2930,717,1296,2522,1354,1288,2933,2927,711,2610,278,280,2626,1749,537,2620,2598,275,1500,2597,535,539,2618,2063,2140,2134,3007,794,1115,3000,2060,2137,2741,2056,1119,1120,2998,3013,1033,1032,3198,2577,2027,3192,3000,1032,1769,2999,2049,2045,3192,828,441,441,1602,473,671,1599,829,439,1000,825,668,674,1591,1465,2651,2658,1197,2569,3029,1201,1473,2652,1924,1466,3026,3020,1194,1095,1818,1817,1400,2051,2485,1401,1099,1810,1700,1106,2456,2468,1387,2592,3018,3002,467,3397,2188,470,2605,3008,2098,2604,2170,2182,468,2622,495,497,2836,1806,794,2831,2616,492,1728,2611,794,796,2833,610,2631,2636,169,1857,2483,170,613,2635,1561,611,2470,2477,168,690,2430,2430,480,1939,2739,483,698,2428,1417,697,2740,2735,477,1235,2573,2572,1620,2236,3137,1624,1238,2585,2046,1242,3142,3136,1606
1773,934,927,981,2268,1729,989,1757,932,697,1739,1755,1738,984,2516,1637,1622,3181,1854,1944,3175,2503,1628,2190,2510,1974,1960,3178,1659,1145,1136,2821,319,515,2805,1649,1143,2116,1620,513,516,2792,2403,2318,2304,3304,1510,2301,3298,2416,2308,2404,2411,2287,2293,3297,2096,1530,1521,3156,1014,1532,3150,2107,1523,2045,2106,1545,1544,3155,2907,2820,2824,2401,2494,1753,2415,2915,2819,3049,2906,1749,1759,2414,1533,2316,2305,2822,2135,2749,2816,1535,2324,2986,1536,2755,2763,2815,3127,1653,1652,2641,2209,1630,2637,3117,1645,1742,3123,1629,1634,2650,2886,2327,2317,2670,3348,2831,2688,2907,2324,2632,2891,2822,2837,2674,970,911,905,1779,354,661,1770,954,905,1400,948,656,664,1763,2578,599,597,2519,1807,760,2514,2570,598,1591,2570,761,766,2512,2230,2365,2360,3127,1368,2824,3121,2221,2353,1801,2217,2824,2818,3116,2015,1078,1070,3105,1029,1594,3099,2014,1076,1600,1996,1597,1600,3095,1932,2475,2495,2162,2738,3168,2161,1947,2470,2287,1942,3149,3156,2143,497,671,668,119,975,1097,120,500,688,181,492,1108,1107,120,1912,1708,1701,3203,962,1684,3196,1927,1704,2249,1923,1686,1693,3201,2294,389,391,2526,1480,593,2531,2288,384,1512,2294,593,598,2535,938,1376,1400,1352,345,512,1372,940,1361,1636,935,511,515,1391,2052,492,495,2615,975,348,2608,2049,490,1674,2035,351,351,2607,2731,1938,1923,2750,1713,797,2742,2727,1926,2865,2708,798,800,2739
211,1575,1572,83,1090,1787,83,215,1577,745,215,1780,1784,83,1842,859,853,2399,955,687,2387,1840,858,1677,1817,688,689,2383,2202,479,479,2215,1664,760,2219,2201,477,1406,2195,763,765,2222,1120,1589,1606,282,1931,2021,283,1114,1567,671,1112,2005,2013,282,2496,2949,2957,3026,1812,2827,3019,2505,2950,2469,2498,2830,2827,3012,2191,2039,2060,1818,1863,1305,1830,2168,2028,2240,2153,1299,1305,1834,1443,2568,2569,2559,2227,2889,2552,1445,2580,3018,1439,2906,2900,2557,1788,1391,1383,2025,1011,317,2025,1790,1391,2310,1787,317,317,2018,1794,706,706,2583,992,798,2589,1790,704,1679,1801,802,803,2588,357,1880,1893,5,1283,1768,5,359,1877,1053,357,1739,1760,5,2277,547,550,2203,1627,674,2204,2264,545,1433,2266,680,682,2217,2158,2315,2332,3040,1472,2784,3034,2168,2310,1866,2166,2799,2792,3039,425,296,293,876,266,418,872,421,295,593,421,405,418,862,1869,798,792,2299,1074,613,2293,1863,795,1673,1856,620,620,2294,132,167,165,145,225,229,153,132,167,178,131,249,237,153,1655,352,354,2257,920,587,2261,1649,351,1279,1656,592,594,2265,1151,1287,1281,2020,571,943,2019,1179,1302,1762,1190,945,947,2027,1730,522,524,2594,984,937,2588,1723,521,1421,1718,943,946,2584,1527,786,782,2318,407,267,2321,1516,785,1709,1543,270,269,2331,1008,2110,2107,1286,1826,2598,1292,1014,2116,1623,1010,2593,2589,1285
